section,finding_id,severity,category,title,location,evidence,impact,fix,attack,defense,verdict,justification,flagged_critical,source_count
S01,S01-F07,P2,BROKEN_FORWARD_REFERENCE,The learner receives an inaccurate forward map of when this syntax becomes learnable.,theory[2].paragraphs[4],"Type annotation paragraph says annotations return when S02–S03 deepen types, while roadmap places gradual type hints from S05; S03 is decisions/validation, not type-hint instruction.",The learner may interpret absence of type-hint teaching in S03 as missing content or believe type annotations are part of basic value types.,Either remove the forward section numbers or point to the actual section where annotations are deliberately taught.,,,,,False,1
S01,S01-F09,P2,DEFINITION_DRIFT,Terminal and shell change from distinct conceptual levels into synonyms.,"opening definitions + 'Terminal, rutas y códigos de salida'","Opening defines terminal as the text window; later prose calls bash, zsh and PowerShell 'la terminal'.",A Windows learner cannot understand why the same terminal application can host PowerShell or another shell with different syntax.,"Add one sentence: terminal is the application/window; shell is the command interpreter inside it, e.g. PowerShell, bash or zsh.",,,,,False,1
S01,S01-F12,P2,COGNITIVE_LOAD_HIGH,Too many independent shell operators and platform branches must be held in working memory before they are needed for the section's core reproducibility model.,'Leer una línea de terminal: los conectores del día 1',"Before the learner reaches venv, one block adds >, >>, |, head, grep, &&, ||, mkdir, rm -rf, which/where and stderr redirection.","When a later venv/pip command fails, the learner has to distinguish environment failure from a large new shell syntax vocabulary and may debug the wrong layer.",Keep only commands required immediately; move pipes/filters/error redirection/destructive cleanup to optional reference or introduce each immediately before first essential use.,,,,,False,1
S01,S01-F13,P2,MISCONCEPTION_RISK,The isolation model is stronger than the portability model actually guaranteed by venv.,jobRelevance + opening environment definition + venv paragraph,The environment is repeatedly described as a self-contained folder with 'its own Python'; Python documentation says venvs are disposable and not considered movable/copyable.,The learner can conclude that copying .venv to another machine is a valid reproducibility strategy because the folder supposedly contains a self-contained Python.,"Define it as an isolated directory with a Python associated with that environment and its site-packages, then explicitly say it is recreated rather than copied.",,,,,False,1
S01,S01-F14,P2,PROGRESSIVE_DISCLOSURE_DEFECT,A platform-specific failure mode interrupts the first exposure before the learner has stabilized the base concept.,venv paragraph 1,Debian/Ubuntu ensurepip/package-manager recovery is embedded in the first core definition of venv.,"A learner on macOS/Windows must process apt, ensurepip and distro packaging despite none being relevant; a Linux learner sees recovery syntax before understanding what successful creation should mean.",Move distro-specific repair into a troubleshooting callout after the successful model and verification.,,,,,False,1
S01,S01-F15,P2,WIDOW_TERM,The learner is told what suffix the output should have without understanding why that value proves the active environment.,venv code + .venv/.env callout,sys.prefix is used as proof that the venv is active but the lesson does not define what sys.prefix represents.,The learner pattern-matches '.venv' rather than understanding the diagnostic and cannot adapt it when paths differ.,Add a microdefinition: sys.prefix is the directory Python reports as the active environment prefix.,,,,,False,1
S01,S01-F16,P2,EXAMPLE_SCOPE_MISMATCH,The example advertises the reconstruction action central to reproducibility but only demonstrates install/freeze/import in the same environment.,pip code title and body,"The code block is titled 'install, freeze, install -r' but never executes python -m pip install -r requirements.txt.",The learner may think they have seen/tested the clean reconstruction step when the code never performs it.,Either rename the block to its actual scope or add an explicit clean-environment install -r demonstration without pretending same-venv reinstall proves portability.,,,,,False,1
S01,S01-F18,P2,TECHNICAL_OVERGENERALIZATION,The recovery contract is incomplete for the exact novice state most likely to contain newly created untracked files.,branches/recovery paragraph,The prose says git stash stores temporary changes and leaves the tree clean without stating that untracked files are not included by default; Git documents -u/--include-untracked for that behavior.,"The learner stashes before switching context, assumes a clean tree, and is surprised that new untracked files remain; they may then misdiagnose Git or accidentally leave sensitive files exposed.","Say stash handles tracked modifications by default; use git stash -u only when deliberately including untracked files, and verify with git status.",,,,,False,1
S01,S01-F19,P2,WIDOW_TERM_AND_PLATFORM_BLOCKER,"A key security artifact is demonstrated with syntax a Windows learner cannot execute, while another unexplained delivery concept is used to justify Ruff.",Ruff callout + quality-files paragraph/code,CI is used without a microdefinition; the core .gitignore/.env.example creation block uses Bash heredoc syntax even though S01 promises Windows PowerShell support.,"The Windows learner receives a syntax error when creating .gitignore and cannot know whether Git, the file content or the shell is wrong; the CI comparison adds an unexplained dependency.","Define CI in one clause and create these tiny files through VS Code with content blocks, then verify with git check-ignore; avoid heredoc as the canonical cross-platform path.",,,,,False,1
S01,S01-U01,UNSPEC,,Does the deployed hydrated S01 page exactly match the canonical source reviewed here?,,,,,,,NEEDS_E4_RENDER,,False,1
S01,S01-U02,UNSPEC,,What deterministic convention guarantees that 'DNI ficticios' cannot accidentally reuse a real Peruvian identifier when synthetic CSV data are created?,,,,,,,AMBIGUOUS,Potential privacy/data-quality issue; not promoted to a confirmed finding without the actual dataset generation contract.,False,1
S01,,UNSPEC,three_failure_causes,Premature knowledge: basic runtime/reproducibility concepts are taught through Python syntax reserved for later sections.,,,,,,,,,False,1
S01,,UNSPEC,three_failure_causes,Cross-platform and evidence inconsistency: some canonical examples are labelled executable/cross-platform but are transcripts or Bash-only.,,,,,,,,,False,1
S01,,UNSPEC,three_failure_causes,"Safety/model gaps: commit-email privacy, venv portability and stash behavior are materially underexplained or overgeneralized.",,,,,,,,,False,1
S02,S02-F01,P1,FUTURE_KNOWLEDGE_LEAK,"A syntax scaffold belonging to S05 is used as the container for S02's first worked examples, so the learner must parse a function before focusing on the value/type concept the example claims to teach.",all non-optional theory code blocks and optional contract code,Every main theory example is wrapped in def s02_th_*() or defines safe_int(...); several also carry annotations such as campo: str and valor: str. The V3 roadmap schedules function definition/call/return/parameters and gradual type hints in S05.,"The learner copies def/indentation/call syntax as ritual, cannot explain why the body is indented or why s02_th_1() runs, and may infer that small Python examples require a function wrapper.",Make S02 theory examples top-level statements. Refactor into functions only when S05 teaches functions; do not add a mini S05 to S02.,,,,,False,1
S02,S02-F02,P1,FUTURE_KNOWLEDGE_LEAK,Calling control flow 'support syntax' does not make it cognitively inert: the learner must understand branch selection and iteration to predict the examples.,opening paragraph 6; T1-B; T2-A code; T2-B truthiness figure; parser code,The lesson announces that if and for will appear as support syntax. safe_int depends on if; T2-A uses if/else; the figure explains truthiness; for iterates test values. V3 assigns truthiness/if/elif/else to S03 and for to S04.,The learner can recite what int() does but cannot explain why safe_int returns one tuple instead of another or why the for block executes multiple conversions.,Remove if/else/for/truthiness from core S02 theory examples. Demonstrate conversions with separate concrete inputs and show errors directly; defer branching/iteration to S03/S04.,,,,,False,1
S02,S02-F03,P1,FUTURE_KNOWLEDGE_LEAK,"The lesson requires exception handling to make its main parser outcome work but never teaches what an exception is, where control jumps, or why only a specific exception should be caught.",T1-B and T4-B safe_int; T3-B InvalidOperation prose,"try/except, ValueError capture, InvalidOperation capture, 'no tragar excepciones' and except: pass are central to the parser explanation. V3 places exceptions and recovery boundaries in S09.","The learner treats try/except as magic punctuation and cannot predict whether the return after try runs, whether except runs, or what happens for an unexpected error.","Either teach a deliberately bounded micro-model of one recoverable ValueError before the first try/except, or defer robust recovery until S09 and keep S02 to successful conversion plus observable failing examples. Do not silently rely on S09 knowledge.",,,,,False,1
S02,S02-F04,P1,FUTURE_KNOWLEDGE_LEAK,"A minimal mutable-container preview for aliasing is defensible under the S02 roadmap, but the lesson expands that preview into tuple protocols, slicing, unpacking and typed lists required to follow the parser.",T1-B tuple contract; T2-B list/copy/slice; T3-A tuple unpacking; T4-B errors:list[str],"The parser contract returns three-element tuples, for iterates a list, T2-B uses list literals/append/copy/a[:], T3-A uses a,b,c = 10,3,2, and T4-B names list[str]. V3 puts lists/tuples/slicing/unpacking in S06, while S02 only permits identity/mutability/copies 'al nivel necesario'.","The learner must infer bracket/tuple/unpacking semantics and the shape of (ok, value, message) before knowing what a tuple is, obscuring conversion and validation.","Keep one explicitly introduced list solely for aliasing/mutability, with a one-sentence definition. Remove tuple-return protocols, slicing, unpacking and list[str] from S02 core; revisit them in S06.",,,,,False,1
S02,S02-F12,P1,TECHNICAL_INACCURACY,The lesson turns a mutation guarantee into an identity guarantee.,T2-B str immutability paragraph,"The prose states that .strip() or concatenation returns another string. Immutability guarantees that the original string is not mutated, not that a distinct object identity must be produced; implementations may reuse the original object when the result is unchanged.","The learner can predict s is s.strip() must always be False and use identity to reason about string transformations, which is not a valid contract.",Replace 'devuelve otro string' with 'produce un resultado str sin modificar el original; no bases la lógica en si Python reutiliza o no el mismo objeto'.,,,,,False,1
S02,S02-F14,P1,TECHNICAL_CONTRADICTION,A rule presented as Python-wide changes for the numeric type immediately introduced in T3-B.,T3-A operator definitions vs T3-B Decimal,"T3-A states / returns float and // rounds toward -infinity without restricting operand types. In the same section Decimal division returns Decimal, and Decimal // truncates toward zero (e.g. Decimal(-7)//Decimal(4) == Decimal(-1), while -7//4 == -2).",The learner applies the int rule to Decimal and predicts the wrong type or wrong negative quotient.,"Scope the rule explicitly: 'con int, / produce float y // hace floor; otros tipos pueden definir estos operadores de otra manera'. In T3-B state Decimal's difference only if // or % will actually be used.",,,,,False,1
S02,S02-F15,P1,DEFINITION_DRIFT_TECHNICAL_FALSEHOOD,"Approximation error is mislabeled as non-reproducibility, changing the meaning of a core S01 term, and the figure's universal rounding rule conflicts with the paragraph's boundary-based rule.",figure S02-decimal-rounding + T3-B prose,"The caption says 'con float ni siquiera es reproducible' and 'Redondear una sola vez, al final', while the prose later says quantize at each monetary step that must be shown or persisted. Python documents float's issue as binary representation/round-off, and even provides exact hexadecimal representations useful for reliable portability.",The learner can believe repeated float operations are random/non-repeatable and cannot tell whether to round once globally or at each defined business boundary.,Caption: 'Float representa muchos decimales como aproximaciones binarias. Define una política de redondeo y aplícala en los límites de negocio que correspondan; no redondees repetidamente sin una regla'.,,,,,False,1
S02,S02-F16,P1,EXAMPLE_CONTRADICTS_PROSE,The worked example does not demonstrate the behavior the paragraph explicitly promises.,T3-B paragraph 3 vs decimal_igv.py,"The prose instructs importing Decimal, ROUND_HALF_EVEN and InvalidOperation 'las tres' because InvalidOperation will be captured 'en el mismo bloque'. The code imports only Decimal and ROUND_HALF_EVEN and contains no invalid input or exception handler.",The learner cannot locate where InvalidOperation is caught and may infer that quantize itself somehow handles invalid input.,"Either remove the promise of capture from this T3-B block and defer invalid-input handling, or add a separately explained minimal invalid Decimal example once the exception-sequencing decision is resolved. Do not claim code that is absent.",,,,,False,1
S02,S02-F05,P2,ORPHAN_SYNTAX,"Individual operations are often described, but the repeated x.algo(...) shape itself remains unexplained.",T1-A through T3-B method/attribute syntax,"The learner meets type(x).__name__, valor.strip(), a.copy(), b.append(), Decimal(...).quantize() and repr-like attributes without a first-use explanation of the dot form.","The learner cannot distinguish a function call such as int(x) from an operation attached to a value such as x.strip(), so future syntax becomes pattern copying rather than a predictable model.",Before first dot call add a microdefinition: 'x.metodo() pide al valor x ejecutar una operación propia; no necesitas estudiar objetos todavía'. Avoid __name__ if the attribute itself adds no learning value.,,,,,False,1
S02,S02-F06,P2,FUTURE_KNOWLEDGE_LEAK,The critical money type appears through an unexplained module/import statement.,T3-B and T4-A Decimal imports,"The prose says 'Importa: from decimal import ...' and code relies on from decimal import Decimal, while V3 teaches modules/imports in S10 and S01's import usage was not credited as learned.",The learner can copy Decimal but cannot explain why the name is unavailable without the import or what 'decimal' and 'Decimal' each refer to.,Add one microdefinition: 'decimal es un módulo de la biblioteca estándar; from decimal import Decimal hace disponible el nombre Decimal en este archivo'. Defer module mechanics to S10.,,,,,False,1
S02,S02-F07,P2,META_TEXT_PEDAGOGICAL_ARTIFACT_MISMATCH,The optional learner-facing reference behaves like a curriculum/harness contract rather than an explanatory example and imports future syntax for no instructional gain.,optional theory block 'Contrato de la sección' code,"s02_map_contract.py exposes internal-looking flags such as if_for_as_support_syntax, real_pii_ok, gates and focus inside a function returning a dict/list before any of those structures are taught.",A novice may assume these identifiers are required course API or try to understand dict/list/function syntax that is unrelated to S02's mental model.,Keep the optional contract as prose/table. Remove the executable internal contract until the structures it uses have been taught.,,,,,False,1
S02,S02-F08,P2,DELAYED_DEFINITION_WIDOW_TERM,A central artifact is named with English/internal labels before the learner is told that it is simply the program/script that turns captured text into interpreted fields while preserving originals.,tagline/opening/optional contract before T4-B,"'parser de intake', 'intake', CASO-LIM-002 and CP-N1-A are used before a learner-facing definition; parser is only concretely explained in T4-B. CP-N1-A remained unresolved at S01 entry state.","The learner can mistake parser/intake/CP identifiers for tools, libraries or files and must infer what is being built.","At first use write 'captura inicial (intake)' and 'parser, el código que transforma el texto capturado en campos interpretados'; expand CP-N1-A/CASO-LIM-002 once in learner language.",,,,,False,1
S02,S02-F09,P2,COGNITIVE_LOAD_HIGH,Too many interacting constructs are required before the novice can stabilize the simpler conversion model 'text -> cleaned text -> attempted int'.,T1-B inspection/conversion/validation,"Within one subtopic the learner encounters type, isinstance, bool-as-int edge behavior, and/not, constructors, strip, ValueError, eval, tuples, lists, try/except, function definition, annotations, if, return and for.","Working memory is spent decoding syntax, so the learner can execute safe_int without retaining why conversion succeeds or fails.","Use worked examples that fade gradually: first int('19'), then a failing int('abc') and its error, then only the minimum recovery pattern justified by the resolved roadmap decision.",,,,,False,1
S02,S02-F10,P2,UNNECESSARY_ADVANCED_DETAIL,A third assignment-like token increases interference without being needed by any S02 outcome.,T2-A assignment paragraph,The walrus operator := is introduced while the novice is still separating = from ==.,The learner leaves the paragraph with three visually similar operators and no practical reason to use one of them.,Delete the walrus discussion from S02. Introduce it only when a later example genuinely benefits from assignment expressions.,,,,,False,1
S02,S02-F11,P2,MISCONCEPTION_RISK,Typography is presented close enough to semantics that a novice can infer uppercase creates an immutable binding.,T2-A PEP 8 paragraph,The paragraph says UPPER_CASE para constantes but never states that Python does not enforce constancy; PEP 8 describes uppercase as a naming convention.,The learner can believe IGV_TASA cannot be reassigned because of its spelling and later misdiagnose reassignment bugs.,Add: 'Es una convención de lectura; Python sí permite reasignar ese nombre'.,,,,,False,1
S02,S02-F13,P2,MISCONCEPTION_RISK,'Independizar' sounds total while 'superficial' is an unexplained qualifier.,T2-B shallow-copy paragraph,The prose says 'Para independizar: a.copy() o a[:] (copia superficial)' without explaining what superficial limits. Python's copy documentation states that a shallow copy creates a new outer compound object but inserts references to the same contained objects.,The learner can later mutate a nested list through one shallow copy and conclude copy() is broken because the nested element also changed in the other.,"Add one boundary sentence: 'La lista exterior es nueva; si contiene objetos mutables dentro, esos objetos todavía pueden compartirse. Verás copias anidadas en S06'.",,,,,False,1
S02,S02-F17,P2,ROUNDING_POLICY_OVERGENERALIZATION,A language-library default is too easily read as a universal business/legal policy.,T3-B paragraph 3,ROUND_HALF_EVEN is described as the usual/default 'banking' rounding in a business context without distinguishing Python's default Decimal context from an organization's accounting/tax rule. Decimal exposes multiple rounding modes and quantize can take an explicit one.,"The learner may hard-code HALF_EVEN for a workflow whose documented accounting, tax or contractual rule requires another mode/boundary.","Say 'Python Decimal's default context uses ROUND_HALF_EVEN, but the business rule must specify the required mode; here we choose HALF_EVEN only as the course convention'.",,,,,False,1
S02,S02-F18,P2,TECHNICAL_OVERGENERALIZATION,A useful input() rule is generalized into a system-boundary rule that will be false in later API/JSON/data lessons.,T4-A opening paragraph,"The paragraph says that in a terminal, web notebook or mobile application the boundary is essentially 'outside = text; inside = meaningful values'. input() does return str, but other application/API boundaries can deliver already-typed booleans/numbers/objects.",The learner can later assume every external numeric/boolean value must first exist as str and misread typed JSON/API values.,"Limit the claim: 'Con input() y muchos campos de formulario, la entrada llega como texto; otras interfaces pueden entregar tipos distintos'.",,,,,False,1
S02,S02-F19,P2,WIDOW_TERM_CLUSTER,These terms are not purely decorative: they explain why code is structured a certain way or what counts as evidence.,T2-A/T4-A/T4-B,"namespace, schema, pruebas unitarias, CI, asserts and pytest are used as reasons or gates before receiving learner-facing microdefinitions; S01 did not establish CI/testing and V3 places schema in S08 while systematic pytest is much later.","The learner must search outside PyArcana to understand why simulated input is 'testeable', what a unit test is, or what 'demos de CI' means.",Replace unnecessary infrastructure jargon with ordinary language now ('comprobación automática') and add one-sentence definitions only where the concept is essential. Defer schema/CI/pytest mechanics to their real sections.,,,,,False,1
S02,S02-F20,P2,FUTURE_KNOWLEDGE_LEAK_MISEXPLANATION,The justification explains away syntax that actually does require a new rule.,optional contract paragraph about *args and T4-A print signature,"The lesson says calling print(*valores, sep=...) is merely using a function that accepts several arguments. The leading * is itself iterable argument unpacking, a distinct syntax V3 places with unpacking in S06. T4-A also presents print(*args, sep=..., end=...) before function parameter/keyword-argument models.","The learner may believe * has no meaning at call sites or confuse print(a,b) with print(*valores).","Teach print with concrete arguments only: print('a','b',sep=' | '). Do not show *valores/*args in S02; defer call-site unpacking to S06 and function-parameter semantics to S05.",,,,,False,1
S02,S02-F21,P2,LANGUAGE_PRECISION,'Basura' suggests random/corrupt data instead of a deterministic approximation and reinforces F15's incorrect reproducibility framing.,T3-B danger callout,The callout says Decimal(0.1) 'hereda la basura del float'. Python documents that Decimal(float) converts the binary float value exactly to its decimal equivalent; the issue is that the float already represents an approximation of the intended decimal 0.1.,The learner cannot distinguish deterministic representation error from corrupted or unstable data.,Replace 'basura' with 'la aproximación binaria ya contenida en ese float'.,,,,,False,1
S02,,UNSPEC,three_failure_causes,"Prerequisite avalanche: S02's examples import control flow, functions, collections, exceptions and modules from S03-S10.",,,,,,,,,False,1
S02,,UNSPEC,three_failure_causes,"Technical model drift: operator semantics, string identity, float reproducibility and rounding policy are stated too broadly or inconsistently.",,,,,,,,,False,1
S02,,UNSPEC,three_failure_causes,"Internal/tooling vocabulary leaks into learner-facing theory before it earns explanatory value: parser/intake IDs, namespace/schema, CI/testing and optional contract flags.",,,,,,,,,False,1
S03,S03-F01,P1,ROADMAP_PREREQUISITE_CONFLICT_FUTURE_KNOWLEDGE_LEAK,"One of S03's promised T2 skills, guard clauses, inherently depends on function/return semantics that the roadmap withholds until S05, and the lesson does not teach that prerequisite before relying on it.",opening definition of guard clause; T2-A; T2-B; T3-A; T3-B; T4-A; T4-B code,"S03 defines a guard clause as an if at the start of a function that returns immediately and almost every nontrivial example defines a function, often with return and type annotations. V3 schedules function definition/call/return/parameters/type hints in S05.","The learner can predict a comparison but cannot explain why return ends the route, why code below it is skipped, or why the function call produces the shown status; guard clauses become a copied shape rather than a control-flow model.","In S03 teach ordering/exclusivity/dead branches without early return, using top-level status assignments or direct prints. Move guard clauses/early return to S05 when functions and return are taught, or explicitly revise the roadmap if guard clauses must remain in S03.",,,,,False,1
S03,S03-F02,P1,FUTURE_KNOWLEDGE_LEAK,"Iteration is used as the presentation mechanism for the very evidence the novice is supposed to inspect, so it is not incidental syntax.","T1-B, T2-A, T2-B, T3-A, T3-B, T4-A, T4-B code examples",Worked examples repeatedly use for loops to enumerate cases and outputs before V3 teaches for/range/iteration in S04.,"The learner cannot predict why several rows print or how variables such as s, e, c, ex, val and code change between outputs, making the decision logic harder to isolate.","For S03 theory, write explicit calls/prints for each case or show a static decision/example table. Introduce loops only in S04.",,,,,False,1
S03,S03-F03,P1,FUTURE_KNOWLEDGE_LEAK_SCOPE_CONTRADICTION,Structured result containers become essential to understanding status/code/message and branch tests even though the section explicitly promises not to teach collections yet.,opening result-shape paragraph; optional contract; T2-B through T4-B code,"The opening callout says collections arrive later, but learner-facing theory uses set literals, dict return values, lists of tuples, nested list/dict examples, indexing such as r[""code""] and ex[""value""], and a dict-of-examples representation before S06 teaches collections and unpacking.","A novice can follow accept/reject/review in prose but lose the result once it becomes {status, code}, cannot explain brackets/indexing, and may conflate the rule being taught with the container syntax carrying it.",Keep S03 core results as simple strings or visually rendered tables. A small set used solely to demonstrate membership may remain with one microdefinition; defer dict/list/tuple protocols and indexing to S06.,,,,,False,1
S03,S03-F08,P1,FALSE_CORE_MENTAL_MODEL,An invariant is a condition required/intended to hold at a specified program or domain boundary; bugs or invalid external inputs can violate it. The current definition sounds like an automatically enforced law of the language.,opening paragraph 4 and T4-A invariant definition,"The opening says 'un invariante es una promesa que el programa no puede romper' and gives 'el monto nunca es negativo' as an invariant, while the same section validates raw values that can in fact be negative and rejects them.","The learner can conclude that once a statement is called an invariant, invalid values cannot exist, making validation/tests conceptually redundant and obscuring the difference between raw-input constraints and post-validation guarantees.","Define an invariant as 'una condición que declaras que debe cumplirse en una etapa concreta, por ejemplo después de validar; el código y las pruebas detectan cuando no se cumple'. Scope examples explicitly to raw vs accepted data.",,,,,False,1
S03,S03-F09,P1,OUTCOME_NOT_TAUGHT_EXAMPLE_MISSING,"The section names and defines a table without teaching the learner how to read one, check coverage of combinations, or translate one row into a branch.",T3-B Tablas de decisión y match/case,"A learning outcome promises reading a decision table, but theory never renders an actual table with condition columns/rows and actions. It describes the idea, then jumps to prose arrows and match code, even suggesting a dict of examples.",The learner may think a list of code constants or a dict is the decision table and cannot audit whether all business combinations are represented before coding.,"Insert one small learner-visible table before match, e.g. code | meaning | status, including default/unknown. Ask the learner to trace each row into if/elif or match.",,,,,False,1
S03,S03-F10,P1,POLICY_DEFINITION_DRIFT_TECHNICAL_CONTRADICTION,The same cause code receives two incompatible statuses in consecutive subtopics with no different domain contract to explain the change.,T3-A regla_region_edad.py versus T3-B codigo_a_status.py,"T3-A explicitly classifies a region outside the allowlist as review and prints R-FUERA 30 -> review. T3-B then maps the stable code NOT_IN_ALLOWLIST to reject without announcing a policy change, even though it says it is scaling the T3-A motor.",The learner cannot know whether an unknown catalog value is review or reject and may copy either mapping while believing it is the course's canonical policy.,"Keep NOT_IN_ALLOWLIST -> review throughout this synthetic policy, or explicitly introduce a new stricter policy/table with a new context and state that the mapping changed by business decision.",,,,,False,1
S03,S03-F12,P1,TECHNICAL_CONTRADICTION_BACKWARD_REFERENCE_DEFECT,"S03 violates the exact edge case its previous lesson warned about, turning booleans into ages.",T2-B validate_edad and T4-B validate_edad_msg,"Both validators use isinstance(edad, int) without excluding bool. S02 explicitly taught that bool is a subtype of int and that business integer validators should use isinstance(x, int) and not isinstance(x, bool). Executing the S03 logic confirms True/False pass the int check; validate_edad_msg(True) returns OK.","The learner can submit True as edad and receive accept/OK in T4-B, learning that the validator is type-safe when it is not.","For domain integer fields where bool is invalid, use if not isinstance(edad, int) or isinstance(edad, bool): BAD_TYPE, and add True/False branch cases.",,,,,False,1
S03,S03-F13,P1,TECHNICAL_CONTRADICTION_TEST_COVERAGE,The lesson offers two incompatible minimum coverage contracts; the weaker one can miss an entire branch while appearing to satisfy all three statuses.,T4-A paragraph 2 versus T4-B paragraph 2 and learning outcome 8,"T4-A says the professional minimum is at least one example per decision state, but T4-B correctly says one test per branch and gives four paths (None, wrong type, range, OK). Multiple branches can share the same reject state, so one reject example cannot cover them all.","A validator with two reject causes can be tested with only one reject input, leaving the other branch broken while the learner believes the minimum has been met.","Change T4-A to 'at least one example per distinct branch; if several branches share a status, each still needs a case'. Keep accept/reject/review coverage as a secondary check.",,,,,False,1
